lgacode21,arthritis_indig_f,arthritis_indig_m,arthritis_non_indig_f,arthritis_non_indig_m,arthritis_indig_stat_notstated_f,arthritis_indig_stat_notstated_m,asthma_indig_f,asthma_indig_m,asthma_non_indig_f,asthma_non_indig_m,asthma_indig_stat_notstated_f,asthma_indig_stat_notstated_m,cancer_indig_f,cancer_indig_m,cancer_non_indig_f,cancer_non_indig_m,cancer_indig_stat_notstated_f,cancer_indig_stat_notstated_m,dementia_indig_f,dementia_indig_m,dementia_non_indig_f,dementia_non_indig_m,dementia_indig_stat_notstated_f,dementia_indig_stat_notstated_m,diabetes_indig_f,diabetes_indig_m,diabetes_non_indig_f,diabetes_non_indig_m,diabetes_indig_stat_notstated_f,diabetes_indig_stat_notstated_m,heartdisease_indig_f,heartdisease_indig_m,heartdisease_non_indig_f,heartdisease_non_indig_m,heartdisease_indig_stat_notstated_f,heartdisease_indig_stat_notstated_m,kidneydisease_indig_f,kidneydisease_indig_m,kidneydisease_non_indig_f,kidneydisease_non_indig_m,kidneydisease_indig_stat_notstated_f,kidneydisease_indig_stat_notstated_m,lungcondition_indig_f,lungcondition_indig_m,lungcondition_non_indig_f,lungcondition_non_indig_m,lungcondition_indig_stat_notstated_f,lungcondition_indig_stat_notstated_m,mentalhealth_indig_f,mentalhealth_indig_m,mentalhealth_non_indig_f,mentalhealth_non_indig_m,mentalhealth_indig_stat_notstated_f,mentalhealth_indig_stat_notstated_m,stroke_indig_f,stroke_indig_m,stroke_non_indig_f,stroke_non_indig_m,stroke_indig_stat_notstated_f,stroke_indig_stat_notstated_m,other_indig_f,other_indig_m,other_non_indig_f,other_non_indig_m,other_indig_stat_notstated_f,other_indig_stat_notstated_m
15990,60,54,11366,6614,71,29,84,99,9432,8120,36,20,15,17,4353,3815,14,23,0,8,1451,959,30,11,25,34,3207,4232,17,24,20,37,3406,5937,29,31,4,7,720,956,0,5,15,11,1568,1387,15,4,110,94,10003,6152,40,27,0,9,945,1098,14,15,85,66,10022,7409,43,45
16100,19,9,325,239,3,0,28,27,250,194,3,0,8,8,88,90,0,0,0,0,26,22,0,3,7,3,141,183,0,7,0,9,63,147,0,4,3,4,28,20,0,0,9,8,54,57,0,4,22,15,226,177,0,0,0,5,33,33,0,0,14,10,207,157,3,0
16150,125,85,2549,1443,21,10,301,227,2126,1678,16,4,21,23,658,573,3,5,6,5,167,156,6,3,102,98,910,1000,3,5,39,65,725,1038,10,4,12,24,210,183,3,0,51,36,466,439,5,5,325,237,2836,1815,11,4,16,17,188,206,3,3,151,161,1913,1466,8,4
16200,103,73,881,561,8,3,161,142,697,550,3,4,22,21,201,198,0,0,3,3,80,70,0,0,69,44,326,421,0,3,39,37,256,378,3,3,8,9,70,74,0,0,37,24,158,144,0,0,164,124,712,450,8,8,14,12,67,93,0,0,86,81,476,417,5,5
16260,80,49,8089,4160,45,28,153,104,7028,6316,25,10,15,23,2744,2131,11,7,0,3,758,533,0,0,53,53,4750,6133,21,14,18,27,2704,4376,13,24,7,7,720,985,9,4,24,22,1125,1053,9,5,205,151,7614,5018,15,26,8,7,586,769,3,7,90,89,9288,7520,24,18
16350,451,246,10387,5939,77,41,1007,726,10002,7672,53,36,78,53,2534,2229,18,16,16,7,542,404,7,6,250,229,5322,6208,43,26,149,166,2890,4477,32,36,54,38,908,967,9,6,118,99,1762,1494,28,19,1000,616,10890,6787,38,40,37,31,727,924,4,6,578,480,9045,7076,48,38
16380,227,148,7094,4569,70,50,389,319,4496,3095,31,21,56,49,1920,1917,17,20,17,10,607,483,12,9,116,117,2051,2593,26,19,69,94,1963,3076,22,26,26,31,598,603,0,10,55,69,1350,1310,14,13,473,303,5359,3602,34,29,18,21,575,724,11,10,240,277,4347,3373,32,28
16400,229,164,5864,3894,60,40,440,331,3853,2643,31,18,58,54,1523,1555,13,10,10,10,347,261,11,10,121,116,1891,2512,18,22,72,115,1628,2548,18,25,32,30,484,504,7,9,60,48,1024,929,17,6,459,345,4630,3230,35,28,17,19,390,503,3,13,247,227,3497,2885,27,19
16490,122,74,3336,2149,18,18,195,134,2988,2310,7,13,20,17,890,803,4,0,4,0,157,139,0,0,69,44,1147,1437,5,0,28,37,737,1243,8,8,17,18,317,312,0,5,32,17,499,483,3,3,226,122,3544,2288,4,4,8,10,215,258,0,0,102,95,2943,2342,10,11
16550,84,56,4997,2760,44,22,166,111,4279,3845,17,11,32,10,1859,1505,9,6,11,11,645,379,15,13,75,46,1885,2196,26,11,39,41,1485,2373,28,17,17,6,434,533,8,8,29,18,695,561,6,5,187,120,5242,3093,30,24,11,6,391,492,4,7,93,82,5124,3678,31,21
16610,73,47,1672,1096,18,13,126,115,1252,892,20,18,19,16,445,445,4,9,4,0,99,89,3,9,73,52,557,727,5,8,29,53,535,848,7,15,6,19,164,170,0,3,27,23,356,384,0,0,147,126,1299,951,14,9,7,5,167,191,0,7,76,85,957,816,6,10
16700,21,20,4530,2387,22,12,53,47,3732,3469,6,7,13,8,1640,1195,4,8,4,3,495,313,7,4,21,5,2273,2827,5,7,4,11,1457,2301,8,12,0,3,392,494,0,4,5,4,575,544,4,6,73,42,4438,2821,10,4,0,0,339,450,3,0,37,26,5116,4115,11,13
16900,166,96,5136,3044,45,27,286,227,3745,2694,23,6,39,24,1266,1064,5,8,6,3,262,226,5,5,83,76,1937,2151,21,22,46,67,1288,1884,22,7,18,14,467,419,3,0,50,27,901,773,8,0,333,259,4674,2837,20,11,12,23,391,389,6,0,180,177,3500,2710,17,13
16950,346,241,9153,6041,89,64,561,389,5195,3560,32,33,85,79,2385,2264,19,18,16,17,693,504,16,15,219,208,2903,3599,39,36,106,164,2311,3781,37,35,54,49,911,928,7,13,105,104,1668,1597,17,31,625,505,6540,4454,57,41,37,37,700,824,16,10,378,312,5177,4105,34,33
17000,87,51,1370,937,14,8,193,129,1041,859,14,8,16,16,309,287,8,0,0,8,83,83,0,0,52,42,458,576,3,6,28,27,337,520,5,3,17,4,99,98,3,0,26,8,208,212,0,0,199,123,1268,771,5,3,16,10,89,102,4,0,91,83,927,751,3,4
17040,30,30,1347,911,17,13,45,38,932,724,7,5,3,9,335,323,0,0,0,6,86,48,6,0,19,29,356,504,0,5,3,18,332,546,3,4,9,3,79,108,5,5,8,7,215,217,3,0,38,42,1072,753,7,7,0,0,79,116,0,5,25,31,800,672,12,8
17080,59,24,1034,717,8,8,100,67,763,612,9,4,12,10,228,290,0,0,0,0,46,38,0,0,41,34,327,396,4,0,11,13,263,384,4,10,4,6,93,108,0,0,13,13,190,194,0,0,72,60,666,432,8,3,10,6,84,99,0,0,43,34,493,385,11,6
17100,0,5,1328,623,6,3,14,16,965,987,3,0,0,0,409,312,0,0,0,0,184,111,0,0,0,5,890,1048,5,3,0,0,468,716,4,0,0,0,140,147,0,0,0,0,127,158,0,0,20,12,1097,684,5,6,0,0,111,134,7,0,13,13,1497,1181,3,0
17150,124,102,12435,7133,93,38,208,170,9201,7693,28,28,29,36,3880,3682,17,24,4,7,1295,821,23,15,61,60,3773,4944,26,16,37,65,3495,5910,26,39,16,16,892,1022,8,6,25,21,1575,1422,13,6,230,143,9828,6100,47,33,11,18,895,1069,11,12,161,153,10264,7434,38,27
17200,116,73,4687,3359,50,34,271,226,6429,6872,21,20,26,26,1934,1940,6,9,7,6,355,333,10,4,98,87,1802,2657,22,22,56,70,1376,2739,25,23,13,22,441,617,7,11,63,44,742,943,5,16,352,272,9717,7485,44,37,13,22,343,536,8,3,177,155,7318,6909,39,27
17310,324,213,3765,2312,47,29,734,596,3312,2398,29,14,80,62,1006,973,13,7,5,24,292,228,8,5,219,211,1316,1593,13,6,143,172,1121,1582,19,9,49,64,365,327,4,0,113,85,676,567,13,10,727,483,3378,2145,24,14,27,34,288,388,3,7,351,323,2506,1948,23,18
17350,10,5,471,286,7,3,25,16,344,290,3,0,0,5,118,98,3,4,0,0,31,32,0,0,9,9,130,213,0,0,0,3,110,189,3,0,0,0,39,35,0,0,6,9,75,73,0,0,13,20,310,217,7,0,0,0,37,48,0,0,12,11,254,227,4,0
17400,22,14,603,439,12,7,34,26,341,211,5,4,3,8,152,156,3,5,0,0,49,16,0,0,25,17,177,210,5,8,18,5,164,267,0,3,8,4,46,60,0,5,5,5,83,136,0,0,36,26,376,288,7,4,0,5,45,54,0,0,22,20,307,255,3,6
17420,52,29,7145,3993,36,19,76,79,6032,5645,16,10,16,16,2441,2222,7,5,0,0,554,423,13,10,12,31,3404,4780,22,18,18,20,2139,3990,13,16,5,8,537,679,7,3,10,5,806,809,9,7,86,63,5805,3694,15,11,4,0,469,647,6,0,63,37,7533,5860,10,18
17550,210,117,6788,4373,73,44,340,249,4213,3158,41,21,55,33,1922,1930,22,12,14,11,624,534,17,16,102,88,1712,2208,27,28,71,80,2073,3013,40,28,29,17,654,553,15,9,79,40,1437,1283,18,21,373,249,4995,3543,36,28,23,18,581,677,8,6,207,158,4401,3330,43,24
17620,42,39,844,527,12,5,83,63,704,547,5,0,14,11,212,216,0,3,0,5,62,56,0,3,25,38,311,392,3,5,20,19,257,372,6,0,3,5,55,71,0,0,14,18,139,150,0,0,73,38,639,410,8,3,8,4,60,79,0,0,60,36,514,421,3,9
17640,17,12,656,524,5,3,19,13,395,351,4,3,7,0,146,170,4,0,0,0,57,26,0,0,7,0,213,272,0,0,10,0,173,289,0,0,0,0,51,55,0,0,8,3,113,116,0,0,40,16,406,280,0,0,0,0,39,50,3,0,19,13,359,325,0,7
17650,35,17,415,287,4,4,53,37,324,195,3,0,0,10,120,126,0,6,4,0,21,18,0,0,24,22,147,148,4,3,9,15,112,168,0,4,4,10,25,36,0,0,10,5,69,79,0,0,51,37,327,196,5,0,0,0,27,26,0,0,27,25,265,211,0,0
17750,176,101,3641,2186,44,20,460,346,3732,2931,32,12,36,35,992,1010,3,6,7,4,289,185,15,21,126,98,1308,1564,11,15,72,66,992,1386,20,10,40,25,374,343,3,8,58,41,734,607,10,5,406,248,3881,2385,31,21,19,16,294,320,6,4,215,172,2699,2029,37,27
17850,12,6,192,173,5,4,13,9,117,117,0,0,0,0,61,74,3,0,0,0,21,10,0,0,8,6,69,82,0,3,0,8,63,112,3,0,0,0,16,13,0,0,7,3,42,31,0,0,14,3,101,75,0,7,0,0,17,17,0,0,10,3,90,83,5,6
17900,49,33,195,235,0,0,79,45,135,129,0,0,16,9,55,64,0,0,4,3,13,7,0,0,73,56,70,108,0,0,28,39,52,135,0,0,10,7,11,25,0,0,21,13,45,81,3,4,50,28,136,118,4,0,5,4,16,28,0,0,30,34,113,123,0,0
17950,18,11,131,109,3,0,37,17,106,107,0,0,6,3,36,39,0,0,3,3,16,8,0,0,16,17,38,51,0,0,8,14,53,69,0,0,4,0,15,15,0,0,8,9,25,32,0,0,31,13,67,52,0,0,5,6,12,12,0,0,16,11,71,47,0,0
18020,65,30,674,499,10,7,91,86,440,296,3,4,12,6,164,186,0,3,0,0,51,41,5,0,25,25,206,290,3,0,19,21,198,326,7,3,14,5,45,77,4,4,23,9,121,143,4,3,73,48,366,258,4,6,13,5,22,65,3,5,46,44,295,309,6,5
18050,9,4,2083,1197,28,9,23,9,2080,1989,6,6,0,0,880,649,10,9,0,0,274,174,6,0,8,4,620,849,4,3,0,9,564,1105,11,10,0,0,173,224,4,0,5,0,283,269,3,0,31,20,2476,1439,13,4,0,0,135,180,5,0,14,15,2349,1642,21,4
18100,13,11,287,237,0,0,20,11,176,186,6,3,0,0,62,89,0,0,0,0,20,21,0,0,9,8,94,113,0,0,9,3,94,128,0,7,3,3,22,21,0,0,0,0,74,65,0,0,11,12,180,162,0,0,3,0,23,33,3,0,9,8,137,147,0,4
18200,28,23,350,288,4,0,43,26,320,289,5,0,9,0,102,127,5,0,0,4,36,14,0,0,38,24,135,183,0,3,25,23,115,206,7,3,8,7,47,44,4,0,14,11,65,98,0,0,51,28,323,227,0,0,5,3,30,47,0,0,22,30,232,217,4,0
18250,6,11,2523,1355,19,4,20,11,2230,2268,14,6,3,4,1056,863,0,4,0,0,321,200,0,0,3,4,998,1361,5,6,8,6,902,1363,3,0,0,0,211,251,3,0,4,0,350,291,3,0,27,15,2422,1515,3,0,0,0,209,256,0,0,12,4,3073,2339,6,8
18350,65,57,4022,2300,28,17,83,68,2409,1772,8,6,8,15,1109,1074,7,10,0,0,237,181,0,3,44,26,1077,1386,5,19,23,25,950,1544,11,14,9,9,220,254,4,5,10,12,573,561,6,6,125,79,2679,1685,19,18,5,12,244,328,0,4,65,55,2492,1750,11,8
18400,89,70,2996,1906,17,20,172,157,2445,1911,9,10,26,25,747,761,6,8,3,0,116,104,0,0,45,52,1004,1288,5,5,26,47,757,1250,0,11,7,13,203,224,0,4,14,20,448,410,0,7,191,139,2518,1567,9,7,4,12,190,217,0,3,102,105,2124,1737,4,14
18450,356,203,13392,7470,99,68,643,445,9882,7449,46,39,93,54,3550,3024,29,23,18,12,1134,850,22,24,164,130,4925,5526,32,52,106,105,3338,5069,38,35,50,20,1329,1228,14,15,115,75,2261,2003,28,17,741,466,12810,7649,60,50,39,30,1069,1171,14,11,394,334,10402,7751,52,40
18500,7,3,2117,1144,16,3,6,5,1738,1553,6,3,0,0,935,777,5,4,0,0,231,167,3,0,0,0,527,773,3,0,0,0,650,1252,4,8,0,0,127,207,4,0,0,0,311,221,6,0,11,9,1854,1069,4,4,0,0,168,221,0,0,4,0,1971,1368,7,6
18710,31,25,1138,724,10,0,47,38,872,684,7,3,6,3,291,303,0,0,0,4,64,62,3,0,15,17,304,397,4,0,3,18,275,458,3,0,5,4,73,91,0,0,8,8,150,155,0,0,49,33,1002,633,7,4,3,3,65,114,0,0,27,32,874,663,5,5
19399,4,0,32,27,0,0,3,0,31,39,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,7,21,0,0,0,0,3,6,0,0,0,0,5,9,0,0,5,0,23,33,0,0,0,0,0,0,0,0,0,0,23,19,0,0
19499,38,37,376,347,11,6,68,46,372,275,3,9,4,11,115,128,0,5,0,0,6,12,0,4,15,27,107,209,5,4,15,28,102,234,0,5,3,8,34,43,0,0,10,18,91,143,0,0,111,117,712,621,11,18,3,5,17,49,0,0,38,56,389,393,11,8
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110,9,4,835,552,7,4,11,8,557,425,4,7,0,0,230,260,0,0,0,0,77,32,0,0,5,0,240,315,0,3,4,8,246,421,3,8,0,0,72,84,0,0,0,3,120,140,0,0,14,14,675,463,3,4,0,0,64,94,6,0,16,0,546,412,5,3
20260,11,13,842,556,16,3,13,17,619,509,7,6,5,0,213,222,0,0,0,0,65,51,9,0,3,3,287,366,0,4,4,9,240,373,4,6,0,0,55,59,3,0,4,0,153,160,0,3,14,21,730,512,14,3,0,0,55,94,0,0,5,16,526,445,4,0
20570,87,56,7581,4089,57,35,229,192,7144,5314,42,27,19,15,2052,1791,14,18,10,4,495,332,9,11,57,38,2685,3036,27,23,36,43,2117,3048,24,22,14,12,506,491,3,4,27,23,1479,1218,13,8,269,178,8816,5567,37,34,9,15,601,693,8,12,139,126,6266,4388,21,27
20660,42,30,7196,3684,58,26,81,56,5703,4725,31,23,10,9,2150,1755,23,15,0,0,706,403,16,6,24,21,2353,2903,12,19,14,26,1941,2910,13,21,8,3,569,588,5,4,11,13,956,805,8,13,93,73,7109,4322,28,24,3,0,542,646,4,11,40,55,6428,4793,31,21
20740,31,16,3386,2045,24,24,35,17,2179,1550,20,11,8,4,859,951,0,10,0,5,174,171,7,0,11,8,1019,1349,12,18,7,19,985,1551,10,13,0,0,210,232,4,0,8,8,609,590,11,10,51,39,2560,1692,21,17,9,3,284,334,4,9,35,23,2080,1522,11,20
20830,30,14,3999,2342,33,21,56,57,3024,2408,20,12,8,4,1008,1026,12,7,6,0,277,180,4,4,23,21,1288,1609,8,20,16,15,1096,1713,11,25,3,3,282,323,3,9,14,7,751,650,5,11,70,53,3967,2281,16,18,5,0,319,351,4,8,36,29,2985,2143,22,21
20910,4,10,5228,2584,45,13,18,6,4109,3426,17,10,3,3,2004,1798,19,10,0,0,666,328,7,6,3,0,1350,1718,12,14,3,3,1641,2490,22,16,0,0,399,390,8,6,0,0,737,550,11,8,26,16,4375,2617,26,10,0,0,402,459,3,3,17,7,4635,3147,25,12
21010,17,6,1192,737,16,6,27,21,900,616,10,9,0,4,305,291,5,4,0,0,86,70,0,0,6,6,421,530,5,3,5,4,363,555,12,4,0,0,111,107,0,3,0,5,267,232,3,0,31,20,942,638,5,13,0,3,110,123,0,0,17,11,729,506,7,3
21110,12,11,7404,3612,55,14,32,23,6487,5847,20,4,9,6,2766,2340,30,9,0,0,960,529,45,8,6,11,2182,2895,13,14,7,12,2241,3612,37,23,0,0,503,642,15,0,6,3,779,743,5,3,40,38,7391,4349,49,20,4,3,545,649,14,9,25,22,7516,5559,57,20
21180,38,26,8939,4468,69,60,83,66,7312,6628,25,27,10,10,2095,1902,20,17,0,4,904,546,9,6,29,22,5914,6481,43,40,9,20,2474,4065,17,38,3,8,900,1105,9,14,11,14,1045,1159,6,0,85,72,7279,4642,46,36,7,3,835,1047,8,12,49,54,7955,6662,28,35
21270,3,6,500,346,9,6,6,17,312,276,6,0,3,0,104,152,5,0,0,0,40,30,0,0,6,0,190,241,6,5,4,0,151,219,0,4,0,0,50,37,0,3,4,0,85,95,0,3,12,8,323,238,6,5,0,0,45,43,0,0,0,5,243,220,0,3
21370,59,39,2870,1893,42,29,90,70,2018,1539,13,26,13,12,701,734,7,8,0,0,173,137,14,11,42,30,976,1179,19,18,25,30,790,1195,17,24,14,14,244,248,8,10,15,11,454,463,6,13,105,87,2240,1453,10,24,8,3,236,269,4,6,61,53,1690,1332,22,22
21450,41,27,5625,3099,38,16,106,83,5984,4850,26,21,4,7,1475,1355,12,5,3,4,318,228,8,0,22,17,2280,2821,13,9,10,23,1467,2277,21,10,8,8,442,456,9,3,13,12,921,791,10,3,100,77,6867,3952,23,12,5,7,466,489,0,0,52,56,4961,3787,19,24
21610,94,71,14018,7609,86,56,214,166,14895,12597,60,38,23,12,3638,3209,19,17,3,4,992,688,9,4,50,53,8625,10157,57,57,33,45,4164,6499,34,50,9,14,1314,1480,10,10,28,22,2087,1873,24,13,261,159,15741,9448,52,55,15,6,1237,1408,15,10,151,133,13864,11247,56,50
21670,23,8,1329,856,15,10,37,26,800,573,8,3,4,0,307,291,4,3,3,3,84,71,0,0,6,11,452,533,7,0,3,10,329,581,0,8,0,3,67,84,0,0,9,7,305,306,5,0,45,37,1088,699,8,8,0,3,103,151,5,0,15,28,737,592,8,5
21750,15,21,1468,893,12,9,24,18,1042,797,5,5,3,4,388,364,3,5,0,0,105,87,0,0,7,6,499,590,9,9,8,8,366,645,8,8,0,0,129,116,0,0,6,0,247,241,4,0,24,26,1160,824,5,6,3,0,113,161,3,7,26,11,927,710,8,7
21830,10,3,1036,636,18,17,19,8,861,619,11,3,6,0,289,289,4,8,0,0,65,44,0,0,0,9,421,479,6,5,0,0,336,502,6,7,0,0,84,87,0,6,4,0,201,212,0,3,21,20,891,600,3,7,0,0,95,117,4,0,11,8,676,504,9,6
21890,56,37,7129,3455,57,30,140,99,6807,5522,20,23,10,12,1894,1508,8,13,4,0,666,456,15,8,61,44,2921,3262,31,22,28,30,1839,2729,12,20,13,12,574,586,6,4,18,17,858,802,0,3,193,129,10100,5914,34,33,15,11,573,616,7,7,90,54,7481,5183,28,28
22110,77,50,3916,2522,43,30,129,95,2485,1724,29,24,18,15,1010,1119,7,12,3,3,173,146,0,0,49,28,1139,1502,18,24,24,33,1135,1873,14,22,9,10,234,299,0,3,25,18,804,846,7,9,128,87,2857,1996,17,21,12,10,313,410,6,7,76,79,2257,1872,24,23
22170,94,45,8288,4428,72,33,205,126,8023,5975,46,20,11,21,2209,2098,21,17,9,7,648,412,17,5,44,46,3303,3698,27,21,24,22,2286,3472,23,20,13,3,763,699,9,6,21,21,1556,1264,19,15,228,169,9701,5970,50,36,18,16,723,818,11,10,129,117,6883,5186,46,33
22250,18,14,869,627,14,12,27,24,603,488,7,5,7,3,222,245,3,7,0,0,74,50,0,0,11,12,329,386,7,4,5,8,229,398,3,3,4,6,70,57,6,4,4,9,129,157,0,6,30,18,570,383,3,5,0,4,74,87,0,3,13,11,430,313,4,4
22310,15,16,6232,3007,41,15,26,26,5632,4914,16,9,8,3,2239,1757,5,11,0,0,682,397,9,5,3,11,2431,3137,16,7,3,6,1942,3070,14,11,0,0,530,627,4,4,5,5,746,698,5,3,43,32,7173,4332,32,16,0,0,477,547,4,6,14,24,6856,5033,22,11
22410,34,18,1656,1124,29,16,43,19,971,743,11,6,5,3,392,378,3,9,0,5,109,75,0,0,13,18,566,643,11,8,12,9,394,615,7,8,0,0,124,115,4,0,5,7,257,278,9,5,51,33,1224,796,6,4,4,3,139,139,4,4,30,32,974,760,12,12
22490,19,7,1344,837,12,6,38,20,1397,1143,7,6,7,8,342,355,7,3,0,0,79,61,4,0,7,5,456,574,3,4,4,10,315,591,3,4,3,5,111,108,5,0,7,7,203,217,5,3,28,25,1417,977,4,5,0,0,84,97,0,0,21,20,1058,906,7,9
22620,136,93,8744,5135,76,41,277,231,7045,5217,57,34,25,22,2134,2042,22,15,4,3,510,405,7,10,81,59,2715,3133,26,24,47,55,2213,3297,24,27,18,19,663,650,4,8,41,35,1304,1166,18,7,354,218,9082,5528,66,48,12,13,615,709,9,5,161,155,6232,4519,35,34
22670,38,16,6361,3096,48,24,73,36,5270,4737,27,15,7,3,1556,1414,8,10,0,0,772,533,14,3,26,14,4582,4987,23,32,22,9,2036,2981,22,21,10,8,683,793,8,7,21,11,818,938,8,9,81,49,5452,3852,41,31,8,4,656,818,4,9,39,30,6090,4960,16,37
22750,159,81,16034,8654,133,61,345,243,14539,11371,90,50,33,26,4497,4094,28,25,4,6,1499,922,28,19,71,77,6068,6851,55,35,56,61,4709,6901,54,50,25,14,1403,1240,11,8,61,31,2701,2340,40,24,439,275,18329,10972,96,88,11,16,1326,1629,29,10,188,188,13713,9586,79,50
22830,132,73,4664,2659,43,20,216,174,3501,2735,24,21,27,18,1112,1063,13,3,8,7,297,258,5,5,91,58,1571,1963,19,27,48,61,1345,1810,13,21,22,13,406,371,5,5,38,38,695,672,3,11,241,174,3913,2531,24,24,19,17,349,397,5,4,133,106,3179,2319,19,25
22910,9,6,1221,776,11,9,15,9,900,665,8,9,0,0,334,371,7,6,0,0,91,70,0,0,3,4,356,475,4,3,0,0,364,596,3,7,0,0,75,102,0,0,0,3,255,273,3,3,17,21,1095,716,6,5,0,0,90,130,0,5,14,15,898,698,0,5
22980,7,6,490,315,3,8,7,6,285,277,0,4,0,0,113,122,3,0,3,0,40,20,0,0,13,3,183,209,0,3,4,3,133,194,0,5,0,0,17,41,0,0,0,4,71,88,0,0,15,4,333,238,0,5,0,0,40,47,0,0,9,10,266,214,6,0
23110,23,30,4452,2328,35,18,35,48,4023,3324,20,10,5,13,1266,1063,6,6,4,0,400,264,6,7,15,13,2027,2270,16,15,7,22,1338,1880,12,9,4,4,449,411,0,5,6,11,604,543,6,9,56,55,4621,2898,12,12,3,3,394,446,0,3,42,20,4006,3065,8,10
23190,18,7,1419,882,15,7,41,31,1065,819,10,5,0,3,391,358,9,3,0,4,62,56,0,0,16,11,500,547,3,5,15,13,429,586,6,9,0,3,120,91,0,0,9,6,248,215,5,0,49,22,1223,761,7,8,3,4,124,153,0,0,27,8,837,672,6,7
23270,78,47,10555,5339,67,32,186,131,9882,8107,37,27,16,8,2326,2150,10,3,3,3,669,513,12,7,59,40,6072,7051,28,37,25,40,2818,4520,28,22,11,10,1022,1145,11,3,24,17,1404,1375,15,5,185,121,10232,6348,38,41,14,13,734,1018,8,8,90,105,10166,8205,45,39
23350,14,11,1128,713,10,4,27,15,919,732,0,5,7,7,329,320,3,0,0,0,77,66,0,0,3,6,352,417,0,7,5,5,320,547,7,6,0,0,83,84,3,0,9,0,182,199,0,0,24,22,899,647,9,8,5,0,74,107,3,0,13,14,764,625,9,5
23430,38,13,8170,3963,76,30,67,32,7004,5589,30,19,10,8,2570,2218,13,18,0,0,778,475,19,9,18,9,3321,3838,29,33,8,16,2588,3665,31,35,7,5,650,723,8,11,7,7,1194,1022,9,6,90,44,7931,4677,35,18,0,3,664,858,11,11,35,33,7493,5274,41,31
23670,44,26,8517,4512,60,25,92,55,7675,6240,19,20,17,3,2487,2137,8,9,0,0,750,433,9,12,24,31,3809,4612,33,25,11,18,2460,3792,29,20,7,0,619,719,4,7,15,12,1170,1120,9,7,114,67,8443,5103,27,22,7,0,690,797,9,8,70,56,7896,5854,27,26
23810,71,43,5845,3396,69,31,167,123,4656,3405,33,18,10,6,1319,1251,14,11,5,3,320,239,5,0,48,39,2284,2584,28,21,31,37,1750,2397,22,18,13,3,499,514,7,0,20,18,1219,1089,18,13,174,115,5515,3520,40,33,14,12,467,528,5,6,81,98,4055,3089,30,24
23940,7,5,609,498,9,7,21,12,406,325,5,4,0,3,147,175,0,0,0,0,30,21,0,0,10,6,196,272,0,7,5,4,181,302,9,3,0,0,39,49,0,0,7,4,112,148,3,3,19,16,441,341,6,10,0,0,42,45,0,0,12,15,324,303,5,4
24130,24,12,2880,1655,22,9,28,38,2429,2040,11,17,3,0,845,865,9,10,0,0,237,177,7,0,8,15,877,1158,3,12,5,18,708,1314,8,13,0,0,240,228,5,0,0,3,525,433,4,3,37,30,2833,1753,12,12,0,5,184,260,4,6,21,21,2406,1872,20,10
24210,4,0,6598,3173,52,24,16,16,4089,3575,17,12,0,6,2086,1841,11,6,0,6,892,524,15,4,0,3,2477,3256,18,20,3,0,1939,3090,23,13,0,0,520,587,6,3,3,0,694,638,4,4,26,17,4463,2742,16,14,0,0,591,683,10,8,10,17,5745,4430,26,15
24250,9,8,636,412,0,3,12,7,471,331,6,0,0,0,194,209,6,0,0,0,31,31,0,3,0,5,177,266,0,4,7,0,181,322,5,4,0,0,57,54,0,0,0,0,106,111,0,0,16,7,467,345,9,6,0,0,48,88,0,0,7,5,444,376,6,5
24330,28,19,2871,1519,25,5,76,50,3734,3374,16,6,4,10,844,699,7,3,3,0,306,221,3,4,13,8,1558,1770,11,10,11,16,759,1181,7,8,0,4,285,310,5,6,9,4,389,338,7,4,95,67,5081,3181,8,16,4,0,238,323,3,5,55,42,3863,2876,16,21
24410,36,24,6438,3295,41,21,67,65,5802,4528,23,11,15,7,1954,1590,8,9,0,3,553,341,6,7,24,19,2304,2677,14,5,10,20,1772,2512,22,12,12,5,460,495,6,4,11,9,942,772,0,5,80,65,6986,4069,26,15,0,5,523,592,11,0,51,43,6077,4457,29,14
24600,19,10,2747,1712,11,13,69,69,4800,4520,10,8,7,7,1118,1044,5,5,0,0,272,175,3,0,14,16,1099,1635,0,3,9,3,867,1458,4,4,4,4,269,351,4,4,5,8,351,398,0,0,112,89,7237,4698,12,10,5,4,261,340,0,3,44,37,4969,3838,12,13
24650,96,44,6576,3431,42,30,202,129,7798,6761,33,15,19,12,1684,1322,16,14,4,0,312,243,6,3,53,42,3842,4785,24,25,27,32,1662,2757,17,17,12,11,661,696,11,3,23,17,1090,930,9,8,232,126,7683,4737,24,25,9,8,525,649,5,5,129,91,6581,5441,14,19
24780,99,53,3347,1972,47,26,250,175,2926,2266,41,25,26,12,883,815,15,6,0,5,252,159,4,0,81,78,1329,1601,27,15,46,41,1045,1566,14,18,14,6,350,330,10,7,41,19,571,597,10,7,260,161,3162,2025,32,29,16,15,276,313,4,4,133,110,2313,1779,22,19
